Word,Song IDs and Frequencies
是不是,"s1003:1, s1046:3, s1047:3, s1051:1, s1080:1, s1084:1, s1088:8, s1137:1, s1150:1, s1151:1, s1158:1, s2130:2, s2143:1, s2249:1, s3007:1, s3024:2, s3032:2, s3061:1, s3090:1, s3092:1, s3097:1, s3107:1, s3121:2, s3124:1, s3133:2, s3186:2, s3195:2, s3210:1, s3224:1, s3225:1, s3234:1, s3242:1, s3272:1, s5110:1, s6004:3, s6005:2, s6012:1, s6047:4, s6050:1, s6057:1, s6061:2, s6064:1, s6069:3, s6092:1, s6094:4, s6099:3, s6108:1, s6111:1, s6128:1, s6135:1, s6142:3, s6145:1, s6148:2, s6170:1, s6175:1, s6177:1, s6231:1, s6254:1, s6273:3, s6275:4"
打了个,"s1003:1, s1137:1, s1158:1, s3234:1"
缘份,"s1003:1, s1105:1, s1137:1, s1158:1, s3017:4, s3020:1, s3078:2, s3098:1, s3176:3, s3274:4, s5030:3, s5139:3, s5156:2, s5183:3"
时刻,"s1003:1, s1137:1, s1158:1, s2270:1, s3009:2, s3010:2, s3060:4, s3098:1, s3140:2, s3190:1, s3196:2, s3236:2, s3277:2, s5018:2, s5033:2, s6001:1, s6006:1, s6032:1, s6044:1, s6058:2, s6065:1, s6097:1, s6102:1, s6118:1, s6133:1, s6141:1, s6152:1, s6188:3"
回忆,"s1003:1, s1011:1, s1022:2, s1024:1, s1036:1, s1050:1, s1073:2, s1080:1, s1084:1, s1105:1, s1114:2, s1115:1, s1120:1, s1131:2, s1137:1, s1150:1, s1158:1, s2020:2, s2044:1, s2079:3, s2082:1, s2104:2, s2132:2, s2146:2, s2181:1, s2183:2, s2212:1, s2226:2, s2253:1, s2269:1, s3003:1, s3004:1, s3008:1, s3009:2, s3010:3, s3014:1, s3015:5, s3016:2, s3019:4, s3021:2, s3022:2, s3029:3, s3032:2, s3034:5, s3035:2, s3036:2, s3042:2, s3046:5, s3053:1, s3061:1, s3071:1, s3073:2, s3076:2, s3082:3, s3088:1, s3089:2, s3091:2, s3098:1, s3106:1, s3107:2, s3108:1, s3122:3, s3123:3, s3128:5, s3133:2, s3134:2, s3135:2, s3140:2, s3142:2, s3146:2, s3148:3, s3149:5, s3158:2, s3160:4, s3161:3, s3166:2, s3171:1, s3179:1, s3182:4, s3183:2, s3185:1, s3188:2, s3190:2, s3194:2, s3195:1, s3196:3, s3197:2, s3202:2, s3203:1, s3209:1, s3211:1, s3214:2, s3218:3, s3221:1, s3235:1, s3236:1, s3237:1, s3238:2, s3244:1, s3250:1, s3261:1, s3264:1, s3265:1, s3268:3, s3272:1, s3277:3, s3279:1, s3280:1, s3283:2, s4005:4, s4012:4, s4028:4, s4030:3, s5001:2, s5033:1, s5048:2, s5057:1, s5103:1, s5107:2, s5108:2, s5116:2, s5159:2, s5176:2, s5180:1, s5194:2, s5248:2, s5259:3, s6001:2, s6002:4, s6003:1, s6005:3, s6007:1, s6011:5, s6016:2, s6021:1, s6023:1, s6026:4, s6028:1, s6032:1, s6035:1, s6036:4, s6038:1, s6040:4, s6044:2, s6049:1, s6056:1, s6060:2, s6067:3, s6072:1, s6074:1, s6076:1, s6082:3, s6085:3, s6087:1, s6091:1, s6093:4, s6095:3, s6097:2, s6098:1, s6114:1, s6118:1, s6125:4, s6127:4, s6131:1, s6144:1, s6145:1, s6148:4, s6157:1, s6160:3, s6162:1, s6163:1, s6170:1, s6173:1, s6174:1, s6179:2, s6180:1, s6181:1, s6183:1, s6184:1, s6188:4, s6194:2, s6196:3, s6201:3, s6202:1, s6211:5, s6212:5, s6215:1, s6218:1, s6224:1, s6235:1, s6237:1, s6249:1"
青丝,"s1003:1, s1137:1, s1158:1, s2027:2, s2174:2, s2200:2, s4004:2, s4024:2"
成雪,"s1003:1, s1137:1, s1158:1"
希微,"s1003:1, s1137:1, s1158:1"
云烟,"s1003:1, s1016:2, s1136:1, s1137:1, s1158:1, s2082:1, s2181:1, s4013:2, s5007:1, s5031:6, s5126:1, s5212:2, s5219:1, s5225:1"
离开,"s1003:4, s1010:1, s1023:4, s1026:2, s1030:1, s1051:1, s1062:4, s1071:4, s1072:2, s1098:4, s1106:4, s1137:4, s1139:6, s1149:2, s1158:4, s1172:3, s2005:2, s2048:2, s2072:2, s2094:2, s2116:3, s2124:2, s2125:2, s2159:3, s2199:2, s2244:3, s2251:2, s2267:1, s3001:2, s3002:2, s3005:3, s3010:2, s3015:2, s3016:4, s3022:2, s3027:5, s3028:1, s3030:3, s3037:2, s3040:3, s3043:5, s3044:6, s3045:5, s3047:3, s3048:6, s3049:2, s3072:3, s3073:1, s3080:3, s3084:2, s3099:2, s3101:2, s3105:3, s3106:2, s3112:1, s3115:3, s3136:6, s3137:4, s3138:2, s3142:2, s3149:2, s3151:2, s3154:4, s3157:1, s3160:4, s3161:3, s3162:5, s3168:2, s3169:1, s3173:2, s3175:3, s3190:1, s3191:1, s3192:1, s3194:2, s3195:3, s3196:2, s3202:4, s3206:4, s3211:1, s3213:2, s3217:1, s3220:1, s3222:3, s3227:6, s3236:3, s3238:1, s3253:2, s3257:2, s3263:6, s3269:2, s3272:2, s3277:2, s3285:1, s4019:2, s5012:2, s5023:12, s5041:1, s5042:2, s5043:6, s5066:1, s5098:1, s5099:2, s5105:1, s5115:1, s5132:12, s5135:5, s5142:12, s5153:1, s5157:2, s5201:2, s5204:2, s5216:2, s5217:2, s5243:12, s6008:1, s6021:1, s6034:1, s6059:2, s6062:1, s6085:1, s6088:1, s6098:3, s6104:1, s6130:1, s6154:1, s6158:1, s6160:3, s6165:1, s6172:1, s6184:1, s6188:1, s6216:1, s6219:2, s6221:1, s6235:1, s6236:1, s6251:2, s6264:1, s6267:3"
之后,"s1003:4, s1137:4, s1158:4, s2201:2, s3012:1, s3021:2, s3046:2, s3059:1, s3109:1, s3134:2, s3135:2, s3145:3, s3172:3, s3231:1, s3283:2, s4002:3, s4007:3, s5038:3, s5201:2, s5250:3, s6072:1, s6096:4, s6098:3, s6113:4, s6135:1, s6202:4, s6230:4, s6262:4"
没有,"s1003:1, s1014:12, s1015:1, s1016:2, s1022:5, s1023:1, s1028:8, s1029:12, s1036:1, s1037:12, s1043:3, s1046:3, s1047:3, s1048:12, s1049:1, s1051:2, s1056:1, s1062:1, s1071:1, s1074:2, s1083:2, s1085:1, s1088:2, s1090:3, s1093:1, s1098:1, s1099:1, s1100:12, s1112:1, s1114:4, s1116:1, s1117:2, s1119:1, s1120:1, s1124:3, s1126:1, s1135:3, s1136:2, s1137:1, s1158:1, s1169:1, s1172:3, s2001:4, s2003:1, s2005:1, s2020:2, s2021:2, s2029:4, s2030:1, s2039:4, s2046:4, s2054:1, s2057:2, s2059:2, s2060:1, s2066:3, s2069:1, s2072:1, s2089:2, s2094:1, s2095:4, s2098:2, s2102:2, s2104:2, s2106:4, s2108:6, s2117:3, s2124:1, s2125:1, s2129:2, s2130:18, s2132:1, s2133:1, s2136:6, s2143:1, s2146:2, s2147:4, s2148:1, s2154:5, s2159:1, s2167:4, s2173:4, s2182:2, s2183:2, s2198:4, s2201:2, s2208:4, s2209:2, s2211:2, s2222:1, s2223:2, s2227:1, s2228:1, s2230:4, s2233:1, s2239:4, s2244:1, s2249:5, s2251:1, s2268:1, s2269:1, s2270:1, s3003:2, s3007:2, s3009:2, s3012:4, s3015:8, s3025:2, s3028:8, s3029:2, s3031:1, s3032:4, s3035:2, s3038:6, s3040:8, s3041:4, s3042:2, s3043:8, s3046:2, s3047:2, s3048:1, s3056:4, s3059:1, s3061:3, s3065:3, s3068:3, s3070:1, s3071:1, s3076:2, s3080:2, s3084:5, s3086:3, s3091:1, s3092:1, s3095:5, s3096:1, s3101:3, s3108:2, s3110:4, s3112:1, s3116:1, s3120:5, s3122:4, s3123:3, s3124:2, s3128:3, s3130:1, s3133:4, s3134:2, s3136:4, s3140:2, s3141:2, s3143:2, s3144:3, s3146:6, s3147:1, s3149:8, s3155:2, s3159:2, s3161:3, s3163:4, s3165:2, s3167:2, s3169:8, s3171:3, s3175:4, s3185:2, s3188:2, s3192:2, s3194:4, s3204:2, s3206:6, s3210:2, s3212:1, s3213:1, s3217:8, s3220:5, s3222:2, s3223:4, s3224:2, s3225:2, s3230:3, s3234:3, s3236:1, s3238:1, s3241:6, s3242:2, s3244:2, s3245:3, s3246:1, s3255:3, s3259:2, s3262:1, s3263:1, s3266:1, s3269:2, s3271:6, s3272:5, s3273:4, s3278:2, s3281:1, s3285:2, s4005:4, s4012:4, s4023:1, s4028:4, s4029:1, s5001:2, s5003:4, s5004:2, s5005:2, s5006:1, s5007:1, s5015:3, s5016:6, s5036:5, s5047:1, s5053:2, s5054:1, s5065:2, s5066:2, s5067:2, s5069:2, s5071:2, s5073:1, s5079:1, s5087:3, s5090:2, s5093:2, s5098:1, s5102:1, s5103:1, s5108:2, s5111:2, s5113:1, s5117:3, s5122:1, s5123:5, s5124:2, s5126:1, s5127:1, s5131:2, s5138:3, s5140:1, s5146:6, s5152:4, s5160:2, s5161:1, s5164:1, s5168:4, s5172:1, s5176:1, s5180:2, s5186:6, s5193:2, s5200:2, s5202:1, s5208:2, s5215:1, s5219:1, s5225:1, s5226:2, s5227:10, s5232:2, s5239:11, s5241:1, s5242:1, s5245:4, s5247:2, s5251:4, s5252:1, s5255:2, s5256:1, s5290:1, s6002:1, s6005:1, s6008:5, s6009:1, s6013:9, s6018:2, s6020:1, s6028:7, s6030:8, s6031:9, s6032:2, s6033:1, s6036:1, s6039:5, s6040:1, s6052:6, s6053:1, s6060:1, s6066:9, s6067:1, s6070:9, s6073:5, s6082:2, s6085:6, s6086:9, s6088:16, s6091:2, s6096:2, s6098:1, s6107:7, s6111:1, s6116:1, s6118:2, s6123:9, s6124:8, s6126:1, s6127:1, s6128:1, s6129:1, s6134:5, s6135:2, s6136:3, s6140:4, s6146:9, s6147:2, s6148:1, s6151:1, s6154:5, s6155:2, s6158:5, s6161:1, s6162:7, s6165:3, s6166:2, s6168:5, s6176:1, s6177:1, s6179:4, s6184:5, s6185:1, s6189:1, s6192:9, s6193:2, s6197:4, s6198:1, s6204:1, s6207:2, s6216:2, s6222:1, s6225:1, s6226:7, s6227:5, s6229:1, s6230:2, s6235:5, s6238:1, s6243:1, s6244:2, s6245:3, s6247:8, s6248:1, s6250:1, s6254:1, s6260:9, s6261:4, s6262:2, s6267:1, s6268:1, s6271:1"
一直,"s1003:1, s1015:2, s1020:2, s1036:3, s1106:1, s1128:2, s1137:1, s1158:1, s2014:4, s2050:4, s2055:3, s2087:4, s2110:1, s2133:1, s2137:1, s2201:1, s2228:1, s2233:1, s2241:4, s2261:2, s3001:1, s3005:2, s3023:2, s3025:2, s3026:1, s3027:2, s3028:2, s3030:2, s3035:6, s3037:3, s3038:5, s3043:3, s3045:2, s3047:2, s3052:1, s3063:2, s3065:3, s3069:1, s3080:2, s3081:2, s3086:4, s3089:2, s3096:3, s3098:1, s3112:2, s3115:2, s3116:1, s3118:2, s3134:1, s3137:2, s3138:1, s3143:2, s3148:1, s3151:1, s3162:2, s3168:3, s3169:3, s3185:3, s3186:2, s3188:6, s3198:1, s3206:2, s3207:1, s3211:3, s3217:4, s3222:3, s3229:1, s3241:4, s3253:1, s3257:1, s3271:5, s3272:2, s3280:3, s4016:2, s5039:1, s5053:4, s5139:2, s5153:1, s5154:1, s5215:14, s5239:3, s6007:2, s6011:1, s6038:2, s6060:1, s6074:1, s6092:4, s6093:1, s6101:1, s6125:1, s6129:4, s6136:3, s6160:1, s6187:1, s6194:8, s6198:4, s6202:1, s6211:1, s6212:1, s6215:1, s6216:1, s6237:2, s6243:1, s6245:2, s6271:1"
往前,"s1003:2, s1008:1, s1012:3, s1057:3, s1095:2, s1116:1, s1137:2, s1158:2, s2009:2, s2047:2, s2099:2, s2129:1, s2164:2, s2204:2, s3007:1, s3086:4, s3087:2, s3124:1, s3189:2, s3210:1, s3211:5, s3224:1, s3242:1, s6005:1, s6006:1, s6065:1, s6102:1, s6133:1, s6141:1, s6148:1, s6152:1"
转眼,"s1003:2, s1101:1, s1129:1, s1137:2, s1151:1, s1158:2, s3082:1, s3268:1, s4004:1, s4024:1, s5007:2, s5009:1, s5126:2, s5181:1, s5212:2, s5219:1, s5223:1, s5225:2, s5259:2, s5288:1, s6042:3, s6076:1, s6085:1, s6092:5, s6111:1, s6128:1, s6145:1, s6163:6, s6170:1, s6184:1, s6232:2, s6235:1, s6254:1, s6259:3"
转眼之间,"s1003:2, s1137:2, s1158:2"
一步,"s1003:4, s1069:1, s1137:4, s1158:4, s2010:4, s2026:1, s2056:8, s2057:2, s2064:1, s2078:4, s2142:4, s2153:4, s2169:4, s2215:4, s2240:4, s2249:4, s2256:4, s3064:6, s3087:8, s5117:3, s5143:4, s6005:11, s6092:4, s6148:14, s6225:3, s6267:1, s6274:1"
越离,"s1003:1, s1137:1, s1158:2"
越远,"s1003:2, s1137:2, s1158:2, s3146:3, s3159:2, s3219:3, s5026:2, s5112:2"
转身,"s1003:1, s1051:1, s1137:1, s1139:3, s1158:2, s2122:1, s2201:2, s3005:2, s3008:1, s3017:1, s3027:4, s3031:2, s3053:1, s3076:2, s3105:3, s3115:2, s3147:2, s3151:2, s3162:4, s3177:2, s3203:1, s3221:1, s3237:1, s3238:1, s3264:1, s3274:1, s5009:2, s5024:1, s5028:1, s5077:3, s5086:1, s5116:2, s5172:1, s5181:2, s5187:1, s5201:2, s5203:1, s5223:2, s6071:3, s6225:2"
之前,"s1003:1, s1051:1, s1085:1, s1119:1, s1137:1, s2201:2, s3004:2, s3022:2, s3023:4, s3071:1, s3118:4, s3136:2, s3142:2, s3175:3, s3220:1, s3244:1, s3250:1, s3266:1, s3272:2, s3279:2, s5201:4, s6122:3, s6191:3, s6263:2"
看到,"s1003:1, s1028:1, s1085:1, s1119:1, s1137:1, s1152:2, s1158:1, s1163:1, s1165:1, s2018:1, s2032:1, s2179:2, s3071:1, s3085:1, s3086:1, s3101:1, s3107:1, s3116:1, s3166:1, s3180:1, s3200:3, s3204:4, s3244:1, s5023:3, s5071:1, s5132:3, s5154:1, s5201:2, s5251:1, s5254:1, s6001:3, s6004:1, s6033:1, s6044:2, s6047:1, s6048:4, s6061:1, s6069:1, s6083:1, s6094:1, s6097:2, s6099:1, s6109:1, s6119:2, s6134:1, s6138:1, s6142:1, s6155:2, s6163:1, s6185:1, s6193:2, s6198:1, s6200:2, s6203:1, s6227:1, s6233:9, s6238:1, s6240:1, s6248:1, s6251:2, s6261:2, s6264:1, s6265:1, s6275:1"
依稀,"s1003:1, s1137:1, s1158:1, s2226:2, s2272:1, s3091:1, s5083:2, s5120:1"
觉得,"s1003:1, s1025:1, s1051:1, s1085:1, s1119:1, s1120:1, s1137:1, s1142:1, s1158:1, s2143:1, s2249:1, s3071:4, s3097:1, s3102:4, s3130:1, s3244:4, s4021:2, s5043:2, s5105:2, s5135:2, s5136:1, s5142:2, s5178:2, s5221:1, s5233:1, s5243:2, s6003:1, s6021:1, s6056:1, s6068:1, s6115:1, s6122:1, s6131:1, s6135:1, s6143:1, s6181:1, s6183:1, s6191:1, s6224:1, s6225:3, s6239:1, s6252:2, s6263:1"
有点,"s1003:1, s1103:1, s1113:2, s1137:1, s1138:1, s1142:1, s1158:1, s3014:2, s3049:2, s3074:1, s3080:1, s3083:1, s3102:2, s3105:1, s3116:2, s3130:1, s3166:2, s3170:3, s3173:1, s3209:2, s3235:2, s3260:1, s3261:2, s3265:2, s3282:1, s4021:1, s5002:2, s5011:2, s5043:2, s5135:2, s5145:2, s5202:2, s5214:2, s5249:2, s6049:1, s6173:1, s6180:1, s6190:1, s6197:1, s6198:1, s6240:1, s6261:1"
可怜,"s1003:1, s1036:1, s1137:1, s1158:1, s3107:1, s5118:2, s6011:1, s6093:1, s6125:1, s6172:1, s6211:1, s6212:1"
我散,"s1003:1, s1137:1"
不见,"s1003:1, s1031:1, s1043:1, s1060:2, s1080:1, s1084:1, s1137:1, s1148:1, s1150:1, s1158:1, s1162:1, s2015:6, s2026:2, s2027:4, s2030:3, s2036:3, s2064:2, s2084:4, s2086:1, s2103:1, s2114:2, s2126:5, s2128:1, s2145:4, s2174:4, s2188:1, s2196:6, s2200:4, s2213:6, s2221:5, s2231:3, s2242:2, s2267:1, s3001:5, s3023:1, s3035:4, s3040:3, s3049:3, s3053:1, s3107:1, s3112:1, s3118:1, s3130:2, s3138:5, s3139:2, s3155:1, s3161:2, s3166:1, s3173:2, s3185:2, s3188:4, s3192:1, s3220:2, s3237:1, s3239:2, s3253:4, s3257:5, s3262:2, s3272:1, s3275:2, s4021:2, s5001:2, s5002:2, s5007:1, s5045:2, s5051:1, s5059:1, s5061:1, s5102:2, s5103:2, s5108:2, s5126:1, s5141:1, s5145:2, s5176:3, s5180:3, s5199:1, s5214:2, s5219:1, s5225:1, s6011:1, s6019:3, s6030:1, s6045:2, s6059:1, s6060:4, s6067:4, s6093:1, s6124:1, s6125:1, s6210:2, s6211:1, s6212:1, s6219:1, s6247:1"
疯狂,"s1003:1, s1035:1, s1085:4, s1086:1, s1096:1, s1119:4, s1123:2, s1137:1, s1158:1, s1161:1, s2010:3, s2023:2, s2055:1, s2056:6, s2059:2, s2078:3, s2105:1, s2110:1, s2117:1, s2142:3, s2153:3, s2169:3, s2215:3, s2223:2, s2240:3, s2256:3, s2261:1, s2263:2, s2276:2, s3056:2, s3062:7, s3093:1, s3123:2, s3223:3, s3230:2, s4005:4, s4012:4, s4028:4, s5053:2, s5074:1, s6004:4, s6017:1, s6020:5, s6023:1, s6043:1, s6046:1, s6047:5, s6057:1, s6061:3, s6069:4, s6085:1, s6094:5, s6099:4, s6142:4, s6145:8, s6151:5, s6153:1, s6167:5, s6170:7, s6184:1, s6213:5, s6218:1, s6231:1, s6235:1, s6249:1, s6275:5"
背叛,"s1003:1, s1039:1, s1070:3, s1112:6, s1137:1, s1158:1, s1170:4, s3170:2, s5194:1"
经历,"s1003:2, s1025:1, s1137:2, s1158:2, s2140:1, s2270:2, s5088:1, s6090:2, s6136:1"
谎言,"s1003:1, s1015:1, s1074:1, s1120:1, s1137:1, s1158:1, s2028:1, s2075:2, s3123:2, s3158:1, s4029:1, s5212:2, s6021:1, s6027:1, s6103:1"
退让,"s1003:1, s1137:1, s1158:1, s3153:1, s4026:1"
亏欠,"s1003:1, s1137:1, s1158:1, s3112:2, s5139:3, s6012:2, s6050:2"
起眼,"s1003:1, s1137:1, s1158:1"
不起眼,"s1003:1, s1137:1, s1158:1"
原点,"s1003:1, s1016:2, s1066:1, s1137:1, s1158:1, s6067:3"
不断,"s1003:1, s1015:1, s1022:1, s1061:1, s1069:1, s1114:1, s1137:1, s1158:1, s1168:1, s2020:4, s2104:3, s2146:4, s2182:2, s2183:3, s3050:3, s3053:1, s3056:2, s3089:2, s3223:2, s3233:3, s3237:1, s3251:3, s5010:2, s5036:1, s5046:1, s5073:3, s5080:1, s5117:3, s5157:3, s5231:1, s5259:2, s5290:3, s6011:1, s6075:2, s6089:2, s6093:1, s6113:4, s6125:1, s6207:1, s6211:1, s6212:1, s6252:4"
越走越远,"s1003:1, s1137:1, s3146:3, s3159:2, s3219:3, s5026:2, s5112:2"
一念,"s1003:1, s1137:1, s6134:1, s6207:2"
一念之间,"s1003:1, s1137:1"
伤害,"s1003:1, s1006:2, s1082:2, s1137:1, s1158:1, s2003:1, s2060:1, s2222:1, s2268:1, s2269:1, s3002:3, s3027:2, s3038:3, s3045:1, s3072:3, s3086:1, s3151:1, s3160:2, s3162:2, s3191:1, s3238:2, s3241:2, s3271:3, s5001:1, s5039:1, s5040:3, s5103:1, s5108:1, s5130:3, s5146:2, s5180:2, s5186:2, s5199:1, s6139:1, s6188:1, s6251:2"
一切,"s1003:1, s1006:2, s1025:1, s1046:3, s1047:3, s1051:1, s1082:2, s1089:1, s1112:1, s1134:4, s1137:1, s1158:1, s1166:3, s1172:3, s2003:1, s2057:3, s2060:1, s2080:1, s2095:2, s2130:8, s2152:1, s2160:1, s2177:1, s2180:1, s2222:1, s2230:2, s2268:1, s3007:2, s3014:2, s3018:3, s3027:1, s3029:1, s3035:1, s3041:2, s3098:1, s3104:2, s3111:1, s3113:5, s3116:2, s3117:1, s3124:2, s3146:1, s3151:1, s3162:1, s3166:2, s3167:2, s3178:2, s3183:2, s3184:1, s3185:1, s3188:1, s3209:2, s3210:2, s3211:2, s3212:2, s3214:1, s3224:2, s3226:2, s3235:2, s3240:1, s3242:2, s3249:1, s3261:2, s3265:2, s3269:1, s3278:4, s3286:1, s5001:2, s5002:2, s5006:1, s5007:1, s5012:2, s5015:1, s5028:1, s5031:6, s5036:2, s5037:2, s5038:2, s5043:2, s5058:2, s5060:3, s5063:3, s5068:2, s5073:3, s5080:2, s5086:4, s5088:2, s5091:2, s5102:1, s5103:1, s5105:1, s5106:1, s5108:2, s5111:4, s5113:1, s5115:1, s5119:2, s5122:7, s5126:1, s5128:3, s5135:2, s5145:2, s5149:1, s5171:2, s5172:1, s5176:1, s5180:2, s5183:2, s5187:1, s5190:1, s5192:3, s5196:5, s5197:3, s5199:1, s5204:2, s5207:2, s5210:4, s5214:2, s5215:3, s5219:1, s5220:3, s5222:1, s5225:1, s5229:2, s5236:2, s5250:2, s5254:3, s5255:3, s5290:3, s6023:1, s6028:1, s6032:1, s6035:3, s6078:1, s6082:1, s6112:8, s6118:1, s6126:3, s6134:4, s6145:1, s6162:1, s6170:1, s6200:4, s6205:1, s6218:1, s6245:3, s6249:1, s6273:3"
说声,"s1003:1, s1043:2, s1137:1, s1158:1, s5051:1, s5059:1, s5134:1, s5141:1"
谢谢,"s1003:4, s1043:2, s1137:4, s1158:5, s2065:1, s2115:3, s2192:1, s3068:3, s3105:7, s3132:1, s3135:1, s3164:1, s3183:2, s3211:4, s3245:3, s3248:1, s3255:3, s4008:2, s4011:1, s4020:1, s5009:2, s5181:2, s5223:2, s6041:2, s6084:1, s6144:1, s6149:2, s6277:1"
犹原,"s1006:2, s1082:1, s1156:2, s6178:4, s6273:1"
想到,"s1006:2, s1055:6, s1082:2, s1085:1, s1102:1, s1119:1, s1127:6, s3001:2, s3101:1, s3138:2, s3253:2, s3257:2, s3266:1, s5064:1, s5155:1, s6073:1, s6092:1, s6105:1, s6111:1, s6128:1, s6163:1, s6254:1"
亲像,"s1006:2, s1082:2, s1146:2, s3280:1, s6083:1, s6105:1, s6178:1, s6203:1, s6264:1"
身边,"s1006:2, s1025:1, s1043:5, s1082:2, s1120:4, s1142:2, s1156:2, s2019:3, s2049:1, s2066:1, s2075:2, s2111:3, s2114:5, s2168:1, s2199:4, s2207:1, s2267:1, s2278:1, s3001:3, s3004:2, s3018:3, s3022:2, s3030:3, s3049:2, s3069:1, s3098:1, s3112:1, s3123:2, s3137:4, s3138:3, s3142:2, s3155:2, s3156:3, s3157:5, s3173:2, s3195:3, s3208:2, s3225:2, s3234:1, s3238:1, s3250:1, s3253:2, s3257:3, s3279:2, s3286:3, s5012:2, s5015:6, s5020:6, s5021:1, s5049:2, s5073:1, s5081:1, s5114:6, s5115:1, s5133:1, s5138:3, s5166:2, s5167:1, s5196:4, s5204:2, s5211:2, s5215:3, s5218:6, s5246:2, s5251:1, s5290:1, s6011:2, s6013:1, s6028:1, s6031:1, s6059:2, s6066:1, s6070:1, s6086:1, s6093:2, s6123:1, s6125:2, s6138:4, s6146:1, s6162:1, s6172:1, s6175:1, s6186:1, s6192:1, s6209:4, s6211:2, s6212:2, s6219:2, s6220:4, s6226:1, s6257:1, s6260:1"
情愿,"s1006:2, s1023:4, s1062:3, s1082:2, s1098:3, s2002:1, s2042:1, s2079:2, s2107:3, s2113:1, s2166:1, s2170:1, s2172:1, s2183:1, s2193:1, s2216:2, s2248:1, s2281:1, s3234:1, s5010:3, s5026:4, s5070:2, s5112:6, s5183:6, s6271:2"
不识,"s1006:2, s1082:2, s2119:5, s5082:1, s6251:1"
两人,"s1006:2, s1035:1, s1086:1, s3195:3, s5041:4, s5147:4, s6067:1, s6144:1, s6261:1"
代志,"s1006:2, s1082:2, s6208:2, s6253:3"
渐渐,"s1006:2, s1069:1, s1082:2, s2002:1, s2042:1, s2113:1, s2166:1, s2170:1, s2172:1, s2193:1, s2248:1, s2281:1, s3001:6, s3022:4, s3138:6, s3142:4, s3194:2, s3195:2, s3253:4, s3257:6, s5021:1, s5038:1, s5200:4, s5247:4, s5250:1, s6023:1, s6129:1, s6197:1, s6218:1, s6249:1"
过去,"s1006:2, s1015:1, s1020:1, s1030:2, s1056:2, s1070:1, s1082:2, s1120:1, s1128:1, s2112:3, s2199:1, s2201:1, s2276:2, s3012:2, s3015:2, s3026:3, s3029:1, s3036:2, s3042:2, s3044:1, s3045:3, s3053:7, s3086:1, s3094:3, s3106:2, s3116:1, s3123:2, s3128:3, s3134:1, s3148:1, s3149:2, s3152:10, s3155:2, s3160:1, s3166:1, s3179:2, s3194:2, s3197:2, s3214:2, s3227:1, s3237:7, s3238:3, s3240:1, s3272:1, s4002:2, s4007:2, s4011:2, s4020:2, s4030:1, s5002:2, s5006:1, s5024:1, s5030:2, s5065:3, s5105:2, s5111:1, s5113:1, s5122:6, s5124:3, s5136:1, s5139:3, s5145:2, s5172:1, s5174:1, s5179:2, s5185:1, s5203:1, s5214:2, s5221:1, s5222:3, s5233:1, s5239:2, s5252:3, s5258:3, s6021:1, s6082:1, s6109:3, s6122:1, s6136:3, s6157:1, s6191:1, s6225:1, s6269:3"
想起,"s1006:2, s1030:1, s1061:1, s1073:1, s1080:1, s1082:2, s1084:1, s1126:1, s1129:2, s1150:1, s1168:1, s2014:1, s2020:2, s2050:1, s2087:1, s2104:2, s2130:1, s2146:2, s2183:2, s2241:1, s3001:1, s3010:2, s3089:2, s3098:2, s3101:4, s3106:3, s3138:1, s3146:6, s3154:2, s3164:1, s3165:1, s3190:1, s3192:1, s3196:2, s3236:2, s3238:1, s3257:1, s3277:2, s4021:1, s5004:1, s5047:1, s5063:2, s5065:1, s5105:1, s5111:3, s5116:1, s5124:1, s5144:5, s5220:2, s6017:1, s6019:1, s6021:1, s6029:1, s6033:1, s6043:1, s6046:1, s6075:1, s6081:1, s6153:1, s6185:1, s6202:1, s6208:2, s6210:1, s6238:1, s6248:1, s6272:1"
